探测报告 | 时间: 2026-02-07 05:37:04
------------------------------------------------------------
❌ CCTV-2高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-2高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-2高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 无法解析视频流
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 无法解析视频流
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 无法解析视频流
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-2高清测试(CCTV -2财经高清) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-3超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-3超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-3超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-3超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-3超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-3超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-3高清 | 失败 | 无法解析视频流
❌ CCTV-3高清 | 失败 | 无法解析视频流
❌ CCTV-3高清 | 失败 | 无法解析视频流
❌ CCTV-3高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-3高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-3高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-4K 4K | 失败 | 无法解析视频流
❌ CCTV-4K 4K | 失败 | 无法解析视频流
❌ CCTV-4K 4K | 失败 | 无法解析视频流
❌ CCTV-4K 4K | 失败 | 连接错误: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
❌ CCTV-4K 4K | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-4K 4K | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 无法解析视频流
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Max retries exceeded with url: /rtp/239.77.0.78:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='61.142.117.179', port=500) at 0x7f310c4c2e80>, 'Connection to 61.142.117.179 timed out. (connect timeout=8)'))
❌ CCTV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-5+高清 | 失败 | 无法解析视频流
❌ CCTV-5+高清 | 失败 | 无法解析视频流
❌ CCTV-5+高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CCTV-5+高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-5+高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-5+高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-5超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-5超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-5超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-5超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-5超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-5超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-5高清 | 失败 | 无法解析视频流
❌ CCTV-5高清 | 失败 | 无法解析视频流
❌ CCTV-5高清 | 失败 | 无法解析视频流
❌ CCTV-5高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Max retries exceeded with url: /rtp/239.77.0.170:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='14.21.239.209', port=4022) at 0x7f310c580580>, 'Connection to 14.21.239.209 timed out. (connect timeout=8)'))
❌ CCTV-5高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-5高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-6超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-6超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-6超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CCTV-6超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-6超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-6超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-6高清 | 失败 | 无法解析视频流
❌ CCTV-6高清 | 失败 | 无法解析视频流
❌ CCTV-6高清 | 失败 | 无法解析视频流
❌ CCTV-6高清 | 失败 | 无法解析视频流
❌ CCTV-6高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Max retries exceeded with url: /rtp/239.77.0.171:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='183.48.240.8', port=5050) at 0x7f310c566340>, 'Connection to 183.48.240.8 timed out. (connect timeout=8)'))
❌ CCTV-6高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-7高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-7高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-7高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-7高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-7高清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-7高清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV-7高清 | 失败 | 无法解析视频流
❌ CCTV-7高清 | 失败 | 无法解析视频流
❌ CCTV-7高清 | 失败 | 无法解析视频流
❌ CCTV-7高清 | 失败 | 无法解析视频流
❌ CCTV-7高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CCTV-7高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 无法解析视频流
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 无法解析视频流
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-7高清测试(CCTV -7军事农业高清) | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Max retries exceeded with url: /rtp/239.77.0.138:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='61.142.117.179', port=500) at 0x7f310c4c2fd0>, 'Connection to 61.142.117.179 timed out. (connect timeout=8)'))
❌ CCTV-8超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-8超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-8超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-8超清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-8超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-8超清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-8高清 | 失败 | 无法解析视频流
❌ CCTV-8高清 | 失败 | 无法解析视频流
❌ CCTV-8高清 | 失败 | 无法解析视频流
❌ CCTV-8高清 | 失败 | 无法解析视频流
❌ CCTV-8高清 | 失败 | 无法解析视频流
❌ CCTV-8高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-9高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-9高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-9高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-9高清 (CAVS) | 失败 | 无法解析视频流
❌ CCTV-9高清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV-9高清 (CAVS) | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-9高清测试 | 失败 | 无法解析视频流
❌ CCTV-9高清测试 | 失败 | 无法解析视频流
❌ CCTV-9高清测试 | 失败 | 无法解析视频流
❌ CCTV-9高清测试 | 失败 | 无法解析视频流
❌ CCTV-9高清测试 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV-9高清测试 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Max retries exceeded with url: /rtp/239.77.0.135:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='61.142.117.179', port=500) at 0x7f310c4c7910>, 'Connection to 61.142.117.179 timed out. (connect timeout=8)'))
❌ CCTV4K-25P | 失败 | 无法解析视频流
❌ CCTV4K-25P | 失败 | 无法解析视频流
❌ CCTV4K-25P | 失败 | 无法解析视频流
❌ CCTV4K-25P | 失败 | 无法解析视频流
❌ CCTV4K-25P | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV4K-25P | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV4中文国际欧洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际欧洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际欧洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际欧洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV4中文国际欧洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV4中文国际欧洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Max retries exceeded with url: /rtp/239.253.43.120:5146 (Caused by ConnectTimeoutError(<HTTPConnection(host='61.142.117.179', port=500) at 0x7f310c4e8340>, 'Connection to 61.142.117.179 timed out. (connect timeout=8)'))
❌ CCTV4中文国际美洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际美洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际美洲高清 | 失败 | 无法解析视频流
❌ CCTV4中文国际美洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV4中文国际美洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV4中文国际美洲高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CCTV5+体育高清-测试 | 失败 | 无法解析视频流
❌ CCTV5+体育高清-测试 | 失败 | 无法解析视频流
❌ CCTV5+体育高清-测试 | 失败 | 无法解析视频流
❌ CCTV5+体育高清-测试 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CCTV5+体育高清-测试 | 失败 | 连接错误: HTTPConnectionPool(host='183.48.240.8', port=5050): Read timed out.
❌ CCTV5+体育高清-测试 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CETV-1 | 失败 | 无法解析视频流
❌ CETV-1 | 失败 | 无法解析视频流
❌ CETV-1 | 失败 | 无法解析视频流
❌ CETV-1 | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CETV-1 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CETV-1 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CETV-4高清 | 失败 | 无法解析视频流
❌ CETV-4高清 | 失败 | 无法解析视频流
❌ CETV-4高清 | 失败 | 无法解析视频流
❌ CETV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CETV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CETV-4高清 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CETV4 | 失败 | 无法解析视频流
❌ CETV4 | 失败 | 无法解析视频流
❌ CETV4 | 失败 | 无法解析视频流
❌ CETV4 | 失败 | 连接错误: HTTPConnectionPool(host='14.153.169.247', port=5555): Read timed out.
❌ CETV4 | 失败 | 连接错误: HTTPConnectionPool(host='14.21.239.209', port=4022): Read timed out.
❌ CETV4 | 失败 | 连接错误: HTTPConnectionPool(host='61.142.117.179', port=500): Read timed out.
❌ CGTN俄语高清 | 失败 | 无法解析视频流
❌ CGTN俄语高清 | 失败 | 无法解析视频流
❌ CGTN俄语高清 | 失败 | 无法解析视频流
